WKT,name,description
"LINESTRING (106.7584963 -6.3598644, 106.7639895 -6.3557699, 106.770856 -6.3571347, 106.7691393 -6.3516753, 106.7715426 -6.3516753, 106.7736025 -6.3489456, 106.7736025 -6.3445097, 106.7722292 -6.3383677, 106.7756625 -6.3359792, 106.7777224 -6.3291546, 106.7763491 -6.3257423, 106.7790957 -6.3257423, 106.7763491 -6.3230124, 106.7790957 -6.320965, 106.7792917 -6.3159669, 106.7848358 -6.3163179, 106.7895136 -6.3162752, 106.7969379 -6.3153794, 106.8102417 -6.3144837, 106.8074093 -6.3202421, 106.8033517 -6.3292285, 106.799661 -6.3332166, 106.7987812 -6.3375033, 106.7996825 -6.3421738, 106.7968286 -6.3463537, 106.7931593 -6.3476333, 106.7939747 -6.3508535, 106.7931593 -6.3539884, 106.7925371 -6.3596397, 106.7932452 -6.3630305, 106.7981804 -6.3649498, 106.8030513 -6.3634144, 106.8106085 -6.3639768, 106.8156296 -6.3565555, 106.8258863 -6.3563635, 106.8352204 -6.3551053, 106.8358212 -6.3528874, 106.8380528 -6.3520344, 106.8380957 -6.3479398, 106.8397051 -6.3449754, 106.8356281 -6.3447835, 106.8380314 -6.341222, 106.8441468 -6.3420111, 106.8473225 -6.3377245, 106.8515712 -6.3367221, 106.8499833 -6.3401983, 106.8533521 -6.3429495, 106.8566352 -6.3471934, 106.8560773 -6.3514799, 106.8585234 -6.3530154, 106.8615275 -6.3561289, 106.8690592 -6.3537405, 106.8726211 -6.3551266, 106.8715268 -6.3601169, 106.8768054 -6.361567, 106.8774706 -6.3609699, 106.8788653 -6.3610125, 106.8778997 -6.3631877, 106.8798095 -6.3646805, 106.8813544 -6.3665358, 106.8822985 -6.3648511, 106.8836289 -6.365043, 106.8837148 -6.3677087, 106.8826419 -6.3697986, 106.885042 -6.3698946, 106.8877273 -6.3697559, 106.8880492 -6.3683058, 106.8943578 -6.3708009, 106.8958598 -6.3707156, 106.8976408 -6.368711)",Line 1,
"LINESTRING (106.8976408 -6.368711, 106.8999797 -6.369628, 106.9018894 -6.3688603, 106.9035416 -6.364318, 106.905623 -6.3612045, 106.9069963 -6.3609485, 106.910215 -6.3634436, 106.9143349 -6.3655549, 106.914272 -6.3662077, 106.913875 -6.3665062, 106.9133064 -6.3668901, 106.9126626 -6.3673486, 106.9120404 -6.3683402, 106.9100019 -6.3701742, 106.9094225 -6.3712831, 106.9089183 -6.3726266, 106.9084784 -6.3751643, 106.9080171 -6.3763371, 106.9076845 -6.3774887, 106.9063863 -6.3777232, 106.906397 -6.3779472, 106.9060322 -6.3781178, 106.9058928 -6.3787255, 106.9055602 -6.3785762, 106.9054207 -6.3788002, 106.9053027 -6.3791094, 106.904616 -6.3793119, 106.9045838 -6.3796318, 106.9045731 -6.3799517, 106.9038865 -6.380101, 106.9042727 -6.3804848, 106.90438 -6.3814124, 106.904498 -6.3819775, 106.9047126 -6.3823401, 106.9045087 -6.3830544, 106.9045409 -6.3833103, 106.9048091 -6.3835769, 106.904777 -6.3839394, 106.9049915 -6.3839714, 106.9050452 -6.3846644, 106.904895 -6.3851016, 106.9044765 -6.3856134, 106.9041869 -6.3860932, 106.9042191 -6.3867543, 106.9036075 -6.3880764, 106.903511 -6.3883749, 106.9036719 -6.3886628, 106.9038543 -6.3887481, 106.9040581 -6.388972, 106.9041869 -6.3892599, 106.9041332 -6.3895158, 106.9040259 -6.389729, 106.9043263 -6.3899849, 106.904101 -6.3904114, 106.9038757 -6.3908166, 106.9042298 -6.3911577, 106.9041654 -6.3914456, 106.9040367 -6.3917548, 106.9038865 -6.3920747, 106.903865 -6.3923626, 106.9038543 -6.3926185, 106.903511 -6.3929916, 106.9031247 -6.3932902, 106.9028565 -6.3935247, 106.9027277 -6.3938659, 106.9020518 -6.3940045, 106.9013437 -6.3945163, 106.9010111 -6.3946336, 106.9007107 -6.394463, 106.9003245 -6.3945056, 106.9000455 -6.3947509, 106.8994769 -6.3949854, 106.8992838 -6.3947296, 106.8991229 -6.394399, 106.898522 -6.394463, 106.8984469 -6.3947722, 106.8985757 -6.3953693, 106.8984469 -6.3956358, 106.8979641 -6.3958171, 106.8976745 -6.3961156, 106.8978676 -6.3968406, 106.8981143 -6.3968406, 106.8981894 -6.3972351, 106.8983182 -6.397587, 106.8986293 -6.3977576, 106.8988761 -6.3976083, 106.8990263 -6.3977896, 106.8993052 -6.3978535, 106.8998846 -6.3977576, 106.9002387 -6.3978322, 106.9005927 -6.3975976, 106.9011506 -6.3969366, 106.9013759 -6.396766, 106.9020518 -6.3972138, 106.9025132 -6.396798, 106.9025883 -6.3964248, 106.9028136 -6.3962009, 106.902996 -6.3960516, 106.9030389 -6.3958704, 106.9035431 -6.3961263, 106.9037684 -6.3960516, 106.9039455 -6.3958597, 106.9040957 -6.3955878, 106.9042781 -6.3956038, 106.9044336 -6.3955878, 106.9045624 -6.3955292, 106.9046428 -6.3954279, 106.904836 -6.3952627, 106.9049379 -6.3951774, 106.9050881 -6.3950814, 106.9052007 -6.3949694, 106.9052544 -6.3947775, 106.9053027 -6.3946283, 106.9054153 -6.394479, 106.9055065 -6.3944737, 106.905646 -6.394527, 106.9058016 -6.3945696, 106.9059088 -6.3946069, 106.9061717 -6.3943137, 106.906515 -6.394399, 106.9067403 -6.3944683, 106.9069817 -6.3945376)",Line 2,
"LINESTRING (106.9069817 -6.3945376, 106.907106 -6.3946869, 106.9072562 -6.3947935, 106.9073957 -6.3948042, 106.9077068 -6.3948042, 106.9078839 -6.3948042, 106.9080287 -6.3948042, 106.9082272 -6.3948362, 106.9083291 -6.3948362, 106.9085759 -6.3948788, 106.9113117 -6.39522, 106.912111 -6.3953106, 106.9126743 -6.3953106, 106.9133019 -6.3953106, 106.9138974 -6.3953586, 106.9142514 -6.3954013, 106.9146269 -6.3951187, 106.9148844 -6.395204, 106.9155067 -6.3953799, 106.9163918 -6.3954972, 106.9168103 -6.3955026, 106.9174218 -6.3955665, 106.9180763 -6.3955559, 106.9185537 -6.3955932, 106.9188273 -6.3955452, 106.9188166 -6.3956678, 106.9185644 -6.3961316, 106.9179958 -6.3969846, 106.9175666 -6.3973844, 106.9178456 -6.3975497, 106.9182801 -6.3977469, 106.9183928 -6.3979602, 106.9183123 -6.398232, 106.9178992 -6.3984399, 106.9172716 -6.3985039, 106.9167513 -6.3988504, 106.9173413 -6.3970592, 106.9161612 -6.3995435, 106.9163489 -6.4000872, 106.9166118 -6.4001139, 106.9171482 -6.3999539, 106.9174701 -6.399858, 106.9177651 -6.399922, 106.918028 -6.4001619, 106.9182104 -6.4003858, 106.9182694 -6.4006097, 106.9181782 -6.4007696, 106.9179851 -6.4008229, 106.9177061 -6.4007536, 106.9173628 -6.4006896, 106.9169712 -6.4005777, 106.9165742 -6.4004551, 106.9162792 -6.4005617, 106.9161075 -6.4008496, 106.9162631 -6.40134, 106.9162202 -6.4018571, 106.9161183 -6.4022143, 106.9163543 -6.4026887, 106.9166708 -6.402934, 106.9170946 -6.4034671, 106.9171643 -6.403659, 106.9171107 -6.4038136, 106.9166064 -6.4041601, 106.9159412 -6.4045439, 106.9157535 -6.4052209, 106.916188 -6.4050557, 106.9167459 -6.4050397, 106.9171911 -6.405109, 106.9173735 -6.4053116, 106.9173092 -6.405738, 106.9171268 -6.4059833, 106.9167405 -6.4063084, 106.9164616 -6.406447, 106.9159734 -6.4064417, 106.9152975 -6.4063458, 106.9150668 -6.406511, 106.9148201 -6.4071507, 106.9154584 -6.4070281, 106.9160324 -6.4071241, 106.9161022 -6.40738, 106.9158822 -6.4077904, 106.9158071 -6.408121, 106.9163543 -6.4082702, 106.9169336 -6.4084408, 106.9173467 -6.4087873, 106.9172984 -6.4091018, 106.9169015 -6.4099814, 106.916762 -6.4101574, 106.9164723 -6.4104772, 106.9160539 -6.4107331, 106.915909 -6.4111969, 106.9157964 -6.411666, 106.9157106 -6.4125722, 106.9153672 -6.4132013, 106.9151312 -6.4135744, 106.9148952 -6.4140915, 106.9148147 -6.4145553, 106.9146323 -6.4149711, 106.9143641 -6.4150351, 106.91401 -6.4148538, 106.9139618 -6.4144114, 106.9142193 -6.413729, 106.9146323 -6.413052, 106.9137418 -6.4125829, 106.9131356 -6.4121831, 106.912744 -6.4120551, 106.9125026 -6.4124496, 106.9123953 -6.4130893, 106.9120574 -6.4133239, 106.9111293 -6.4134998, 106.9106519 -6.4135798, 106.9104266 -6.4135158, 106.9105554 -6.4133079, 106.9108182 -6.413116, 106.9106036 -6.412988, 106.9102818 -6.4128388, 106.9099009 -6.4127801, 106.9094342 -6.4126895, 106.9092893 -6.412391, 106.9091713 -6.4120072, 106.9090694 -6.4118419, 106.9089943 -6.4115754, 106.9087046 -6.4114368, 106.9084793 -6.4114314, 106.9083559 -6.4115647, 106.908372 -6.4119165, 106.9083935 -6.4122204, 106.9084632 -6.4126362, 106.9085222 -6.4131533, 106.9084257 -6.413729, 106.9083613 -6.4143208, 106.908313 -6.4149071, 106.9081253 -6.415179, 106.9079161 -6.4152537, 106.9075245 -6.4149178, 106.907106 -6.4143901, 106.9068915 -6.4138783, 106.9066661 -6.4132866, 106.9061994 -6.4129187, 106.9056576 -6.4126575, 106.9052553 -6.4127162, 106.9051373 -6.4129774, 106.9051695 -6.4134732, 106.9055074 -6.4139103, 106.9059098 -6.4143154, 106.9060278 -6.4148165, 106.9061136 -6.4153656, 106.9060707 -6.415904, 106.9059205 -6.4162345, 106.905781 -6.4169329, 106.9056576 -6.417354, 106.9053626 -6.4176205, 106.9048852 -6.4179777, 106.9047189 -6.4182123, 106.9043809 -6.418692, 106.9037855 -6.4192731, 106.9035977 -6.4193051, 106.9034314 -6.4188626, 106.903367 -6.4184735, 106.9034207 -6.4181376, 106.9033831 -6.4178977, 106.9029754 -6.4181216, 106.9026428 -6.4183615, 106.9020206 -6.4184841, 106.9013017 -6.4186654, 106.900717 -6.4189053, 106.9004756 -6.4191132, 106.9004166 -6.4193797, 106.9005293 -6.4198808, 106.90054 -6.4203872, 106.9003683 -6.4206591, 106.900261 -6.4208403, 106.8999928 -6.420851, 106.8997782 -6.4206591, 106.8996978 -6.4203339, 106.8998319 -6.4200194, 106.8997621 -6.4197049, 106.8995261 -6.4195343, 106.8991667 -6.419513, 106.8989521 -6.4196249, 106.8988502 -6.4198914, 106.8989307 -6.420158, 106.898995 -6.4204565, 106.899097 -6.4206324, 106.8992257 -6.420915, 106.8994188 -6.4211655, 106.8995261 -6.4214267, 106.8994671 -6.4215813, 106.8991721 -6.422125, 106.8989307 -6.4223649, 106.8989199 -6.4225995, 106.899113 -6.4226581, 106.8996709 -6.4226368, 106.8999767 -6.4228767, 106.9000411 -6.4231272, 106.8998158 -6.4235697, 106.8996602 -6.4236336, 106.899274 -6.4235217, 106.8990433 -6.4234364, 106.8989146 -6.4235857, 106.8989414 -6.4238575, 106.8991238 -6.4241241, 106.8992954 -6.4243746, 106.8993813 -6.4248064, 106.8993705 -6.4252222, 106.8992311 -6.4256913, 106.8991613 -6.4260218, 106.8988448 -6.4261817, 106.8983781 -6.4259259, 106.8979651 -6.4257233, 106.8976486 -6.4257606, 106.8973482 -6.4260485, 106.8971389 -6.4261604, 106.8966776 -6.4259898, 106.8963879 -6.4258192, 106.8961841 -6.4255634, 106.8957549 -6.4252968, 106.8953472 -6.4250303, 106.8949181 -6.424945, 106.8946123 -6.4249024, 106.8943977 -6.4250036, 106.8944353 -6.4253875, 106.8945587 -6.425558, 106.8947786 -6.4259472, 106.8950629 -6.4264962, 106.8952721 -6.4268801, 106.8954116 -6.4275304, 106.8954009 -6.4278822, 106.8950254 -6.4280688, 106.8947357 -6.4279888, 106.894328 -6.4275624, 106.8938345 -6.426896, 106.8933087 -6.4265762, 106.8929386 -6.4264323, 106.8925792 -6.4266881, 106.8921232 -6.4270666, 106.8917745 -6.4273918, 106.8917745 -6.427669, 106.891914 -6.4278662, 106.8921822 -6.4279462, 106.8925524 -6.4279302, 106.8928206 -6.4279462, 106.8927401 -6.428314, 106.8925309 -6.4287884, 106.8923378 -6.4294015, 106.8918228 -6.4299825, 106.8912381 -6.4304303, 106.8907338 -6.4308248, 106.890412 -6.4314751, 106.8901598 -6.432248, 106.8902564 -6.4325572, 106.8904978 -6.4325199, 106.8908894 -6.4322427, 106.8913293 -6.4325732, 106.8915868 -6.4330423, 106.8918764 -6.4339432, 106.8915439 -6.4342843, 106.8910557 -6.4346415, 106.8904388 -6.4346735, 106.8901223 -6.434327, 106.8896556 -6.434231, 106.8887544 -6.4344763, 106.8880623 -6.4347694, 106.8879604 -6.4351159, 106.8882555 -6.4354624, 106.8885881 -6.4357716, 106.8885291 -6.4360381, 106.8879014 -6.43623, 106.8877458 -6.4370563, 106.8875366 -6.4374561, 106.8869895 -6.4373974, 106.88663 -6.4371309, 106.8864369 -6.4369976, 106.8861151 -6.4370509, 106.8859171 -6.4377037, 106.8858742 -6.4386845, 106.8860029 -6.4394521, 106.8859386 -6.4398359, 106.8854021 -6.4404329, 106.8854665 -6.440838, 106.8858313 -6.4408807, 106.8866896 -6.4403903, 106.8871402 -6.4403476, 106.8873333 -6.4410299, 106.8871617 -6.4417762, 106.8872046 -6.442821, 106.8868612 -6.4430769, 106.8864965 -6.4431408, 106.8861102 -6.4425012, 106.8854665 -6.44216, 106.8850159 -6.4420108, 106.884973 -6.4426078, 106.8846296 -6.443546, 106.884458 -6.4443562, 106.885209 -6.4446334, 106.8855523 -6.4451878, 106.8854021 -6.4455289, 106.8851661 -6.4454436, 106.8845224 -6.4454436, 106.8837713 -6.4453797, 106.8834495 -6.4451451, 106.8837499 -6.4443988, 106.8832564 -6.4436313, 106.8827843 -6.4433114, 106.8823337 -6.4438658, 106.8819904 -6.4453157, 106.8820976 -6.446595, 106.8823766 -6.4469148, 106.8828272 -6.4467656, 106.8833422 -6.4465524, 106.8836855 -6.4474266, 106.8839645 -6.4486206, 106.8834709 -6.4489831, 106.8827414 -6.4488338, 106.8822478 -6.4481728, 106.8819689 -6.4475332, 106.8812608 -6.447853, 106.880896 -6.4484074, 106.8810891 -6.4488765, 106.8817114 -6.4492176, 106.882441 -6.4494735, 106.8829989 -6.449772, 106.8830418 -6.4502197, 106.8824839 -6.4504543, 106.8821835 -6.4505609, 106.882441 -6.4510513, 106.8825053 -6.4515204, 106.8822693 -6.4520747, 106.8819904 -6.4527357, 106.8815183 -6.4534393, 106.8819904 -6.454015, 106.8818616 -6.4544201, 106.8810033 -6.4543562, 106.8805527 -6.4541003, 106.8801665 -6.454015, 106.879866 -6.4529276, 106.8787502 -6.4536526, 106.8800163 -6.4550811, 106.880896 -6.4554862, 106.8817758 -6.4555715, 106.882162 -6.4562751, 106.8818831 -6.4571706, 106.8811964 -6.4568508, 106.8804454 -6.4561685, 106.8801665 -6.4562964, 106.8803381 -6.4570427, 106.8801879 -6.4579382, 106.878643 -6.4586631, 106.8785357 -6.458322, 106.8788575 -6.457725, 106.8787288 -6.4573625, 106.8782782 -6.4572985, 106.8771838 -6.4578956, 106.8763255 -6.4582154, 106.8762397 -6.4575331, 106.8757676 -6.4554436, 106.8751668 -6.4558487, 106.8743729 -6.4562751, 106.8739437 -6.4563604, 106.8732571 -6.4563604, 106.8665408 -6.4563604, 106.8608545 -6.4562751, 106.8553828 -6.4562111, 106.855061 -6.4545054, 106.8541168 -6.452224, 106.8533444 -6.4499852, 106.8533014 -6.4474479, 106.853516 -6.4455716, 106.8532371 -6.4445055, 106.8533873 -6.4427997, 106.8531083 -6.4417123, 106.8529581 -6.4402197, 106.8522071 -6.4388338, 106.8521213 -6.437661, 106.8523144 -6.4367228, 106.8529796 -6.4359126, 106.8520998 -6.4360618, 106.8512844 -6.4359552, 106.8499541 -6.4359552, 106.8494176 -6.4360405, 106.8469929 -6.4370214, 106.8446211 -6.4367264, 106.8438916 -6.4374941, 106.8432908 -6.4381337, 106.8430333 -6.4404792, 106.842647 -6.4411615, 106.8441276 -6.4425688, 106.8447284 -6.442782, 106.8449645 -6.4429099, 106.8453298 -6.4430949, 106.8456409 -6.4432494, 106.8459521 -6.4433934, 106.8460808 -6.4434573, 106.8459467 -6.4435853, 106.8457107 -6.4438678, 106.8453995 -6.4441023, 106.8452708 -6.4443582, 106.8448202 -6.4451636, 106.844198 -6.4456753, 106.8440048 -6.446251, 106.8445413 -6.4467414, 106.8444555 -6.4470826, 106.8442623 -6.4473598, 106.8435542 -6.4474877, 106.8431894 -6.4475943, 106.8426745 -6.4480634, 106.8419664 -6.448234, 106.8393485 -6.4494493, 106.8389194 -6.4488736, 106.8384688 -6.4492148, 106.8381898 -6.4495986, 106.8381684 -6.4498971, 106.8377607 -6.4498971, 106.8375461 -6.4499184, 106.8379323 -6.4502169, 106.836838 -6.4503235, 106.8367521 -6.450558, 106.8363445 -6.4505154, 106.8361299 -6.4497478, 106.8357866 -6.4497478, 106.8359153 -6.4504301, 106.8353574 -6.4503875, 106.8344562 -6.4503875, 106.8339841 -6.4503875, 106.8336622 -6.4508992, 106.8337481 -6.4514749, 106.8341343 -6.4519866, 106.8345206 -6.4523491, 106.8349282 -6.4526476, 106.8352501 -6.4526476, 106.8355291 -6.4526476, 106.8355291 -6.4529887, 106.835293 -6.4543107, 106.8340485 -6.4537137, 106.8334691 -6.4534152, 106.8326537 -6.4533938, 106.8328039 -6.453735, 106.8331258 -6.453799, 106.832289 -6.4532659, 106.8322675 -6.4542041, 106.8311946 -6.4547584, 106.8306582 -6.4547158, 106.8299715 -6.4549716, 106.8291347 -6.4555047, 106.8284178 -6.4569541, 106.8278599 -6.4578709, 106.8274736 -6.4587451, 106.8270874 -6.459406, 106.8267012 -6.459406, 106.8266368 -6.4597685, 106.8264651 -6.4600883, 106.8263793 -6.4607493, 106.8258214 -6.4605787, 106.8255854 -6.4610051, 106.8253279 -6.461325, 106.8250489 -6.4610691, 106.8246627 -6.4610051, 106.824019 -6.4609199, 106.8241692 -6.4601736, 106.8243194 -6.4596193, 106.8245769 -6.4594274, 106.8246841 -6.4586171, 106.8250275 -6.4574231, 106.8253279 -6.4560586, 106.8253279 -6.4553763, 106.8248343 -6.4545234, 106.8245769 -6.4542675, 106.8242979 -6.45463, 106.8238258 -6.4549498, 106.823225 -6.4551417, 106.8229246 -6.4548219, 106.8225813 -6.4544168, 106.8219805 -6.4541183, 106.8210578 -6.4538838, 106.820972 -6.4529456, 106.8205643 -6.4522633, 106.8206072 -6.4515597, 106.8210578 -6.4507068, 106.8212938 -6.4501311, 106.821723 -6.4494062, 106.8221307 -6.4490011, 106.822989 -6.4491503, 106.8230963 -6.4488731, 106.8227744 -6.4483827, 106.8232036 -6.4480629, 106.8234825 -6.4476791, 106.8237615 -6.4469542, 106.8237829 -6.4461439, 106.8235898 -6.4455895, 106.8232036 -6.4449499, 106.8231392 -6.4443102, 106.8224096 -6.4442463, 106.8219161 -6.444097, 106.8213367 -6.4439691, 106.8207359 -6.4438838, 106.8200493 -6.4438411, 106.8195558 -6.4439478, 106.8192983 -6.4441823, 106.8189335 -6.4443955, 106.8182898 -6.4443955, 106.8176031 -6.4447153, 106.8168306 -6.4450352, 106.8161225 -6.4449712, 106.8153286 -6.4448433, 106.8145561 -6.4445661, 106.8138909 -6.4445021, 106.8132687 -6.4442463, 106.8125176 -6.4439264, 106.812067 -6.4437985, 106.8111873 -6.4436279, 106.8104148 -6.4435426, 106.8087196 -6.4436279, 106.8078184 -6.4437559, 106.8066812 -6.4436066, 106.8061662 -6.4433081, 106.8049431 -6.4429669, 106.8045568 -6.4437985, 106.8041062 -6.4447153, 106.8036342 -6.4457175, 106.8032265 -6.4466557, 106.8029046 -6.4476365, 106.8027329 -6.448468, 106.7973471 -6.4501951, 106.8020892 -6.4490224, 106.8011236 -6.4507921, 106.8010807 -6.4520501, 106.7999005 -6.4519435, 106.7987847 -6.4520927, 106.7975187 -6.4520501, 106.7959523 -6.4519008, 106.7937636 -6.4514531, 106.7927766 -6.4513251, 106.7931628 -6.451048, 106.7931628 -6.4502377, 106.7934203 -6.4496834, 106.7937636 -6.4490011)",Line 3,
"LINESTRING (106.7937636 -6.4490011, 106.7941792 -6.448164, 106.7942865 -6.4470979, 106.7938788 -6.4457547, 106.7939432 -6.445051, 106.7943938 -6.4427909)",Line 4,
"LINESTRING (106.7943938 -6.4427909, 106.7940387 -6.4416918, 106.7927942 -6.441969, 106.7920432 -6.441905, 106.7920432 -6.4410521, 106.7914424 -6.4406896, 106.790863 -6.4405404, 106.7902622 -6.4405191, 106.7896399 -6.4404977, 106.7888889 -6.4406043, 106.7885027 -6.4406896, 106.7884168 -6.44005, 106.7885885 -6.4397514, 106.7885456 -6.4392397, 106.7886729 -6.4391057, 106.7888446 -6.4389884, 106.7888714 -6.4388232, 106.7886085 -6.4387379, 106.7883564 -6.438626, 106.7882384 -6.4384287, 106.7881526 -6.4381036, 106.7880721 -6.4379223, 106.7877663 -6.4379543, 106.7877234 -6.4387965, 106.7858351 -6.4391164, 106.7846979 -6.4391164, 106.78311 -6.4391803, 106.7819298 -6.4390311, 106.7817153 -6.4392656)",Line 5,
"LINESTRING (106.7817153 -6.4392656, 106.780814 -6.4392976, 106.7800416 -6.4391484, 106.7793549 -6.4388712, 106.7784966 -6.438594, 106.7777027 -6.4385727, 106.7772092 -6.4383594, 106.776265 -6.4383594, 106.7753209 -6.4383594, 106.7740978 -6.4382741, 106.7734326 -6.4382528, 106.7726172 -6.4382528, 106.7719735 -6.43853, 106.7704071 -6.4385087, 106.7686475 -6.4384234, 106.7672099 -6.4378903, 106.7662872 -6.4372293, 106.7652143 -6.4380183, 106.7639054 -6.4380183, 106.7637337 -6.4378477, 106.7611374 -6.4381249, 106.7592705 -6.4381462, 106.7579831 -6.4384021, 106.7566098 -6.4390204, 106.7555369 -6.4389565, 106.7557515 -6.4377198, 106.7553223 -6.4389991, 106.7547859 -6.4388925, 106.7543138 -6.4389778, 106.7533482 -6.4388072, 106.752683 -6.4387219, 106.7521037 -6.4386366, 106.7512025 -6.4383808, 106.7501296 -6.4381249, 106.7492498 -6.4381249, 106.7481555 -6.4380183, 106.7480267 -6.438466, 106.7468895 -6.438466, 106.7461384 -6.4386366, 106.7450656 -6.4388925, 106.7441643 -6.4388925, 106.7434348 -6.4388925, 106.7428769 -6.4388925, 106.7415894 -6.4389565, 106.7406667 -6.4389351, 106.7395939 -6.4389565, 106.7383064 -6.4388925, 106.7378772 -6.4382955, 106.7373837 -6.4376771, 106.7372979 -6.4370161, 106.7370833 -6.4367603, 106.7371691 -6.4361419, 106.73674 -6.4356515, 106.7368902 -6.4351824, 106.7365683 -6.4344574, 106.7356886 -6.4339883, 106.7361177 -6.4324105, 106.7363752 -6.4318134, 106.7355169 -6.4308539, 106.7347873 -6.430662, 106.734208 -6.4297025, 106.7328991 -6.42934, 106.7329205 -6.4290841, 106.733457 -6.4288069, 106.733457 -6.4283805, 106.7327274 -6.4271864, 106.732942 -6.426568, 106.7340149 -6.4264188, 106.7345728 -6.4262269, 106.7352594 -6.4262908, 106.7352594 -6.4254806, 106.7358388 -6.4246916, 106.7368258 -6.4243718, 106.7368258 -6.4238814, 106.735946 -6.4239666, 106.7356242 -6.4228579, 106.7353238 -6.4227086, 106.7353238 -6.4224314, 106.735989 -6.4220902, 106.735989 -6.4211307, 106.736225 -6.4209388, 106.735474 -6.4205336, 106.7358173 -6.4201498, 106.736461 -6.4199153, 106.7370189 -6.4198726, 106.737255 -6.419105, 106.7370189 -6.4187638, 106.7370189 -6.418444, 106.7362679 -6.4185719, 106.7361177 -6.4179749, 106.7352594 -6.4177616, 106.7347015 -6.4165889, 106.7337574 -6.4161837, 106.7336072 -6.4155653, 106.7332424 -6.4150962, 106.7327274 -6.4146484, 106.7321266 -6.4142646, 106.7314399 -6.4146058, 106.7305173 -6.4146911, 106.7303456 -6.4140087, 106.7307104 -6.4128359, 106.730925 -6.4116418, 106.7307533 -6.4103411, 106.7309893 -6.4096374, 106.7315472 -6.4095948, 106.7320408 -6.4085286, 106.7316974 -6.4078036, 106.7313541 -6.4073984, 106.7313541 -6.4068654, 106.7318476 -6.4067801, 106.7322982 -6.4068014, 106.7325343 -6.4064389, 106.7324484 -6.4057992, 106.7328347 -6.4056073, 106.732427 -6.4054153, 106.7319549 -6.4056712, 106.7317618 -6.4053087, 106.7321266 -6.4049036, 106.7319764 -6.404605, 106.731161 -6.4044984, 106.731161 -6.4027925, 106.7315043 -6.402494, 106.731161 -6.4021955, 106.7304743 -6.4021955, 106.7299594 -6.4020249, 106.7297233 -6.4021102, 106.7295731 -6.4011293, 106.7297019 -6.4001484, 106.7302383 -6.3997859, 106.730882 -6.3992528, 106.7305816 -6.3990182, 106.7289723 -6.3990395, 106.7285861 -6.3985277, 106.7287792 -6.397952, 106.7286075 -6.3972696, 106.72938 -6.3965659, 106.7287148 -6.3959049, 106.7280496 -6.3959475, 106.7276205 -6.395649, 106.7269767 -6.3961608, 106.7263759 -6.3964593, 106.726097 -6.3953931, 106.7266334 -6.3949453, 106.7269124 -6.3942203, 106.7276634 -6.3941137, 106.727835 -6.3944548, 106.7285217 -6.3944762, 106.7285217 -6.3939857, 106.7277921 -6.3937725, 106.7272986 -6.3933247, 106.7276205 -6.392493, 106.7274703 -6.3921092, 106.7268265 -6.3918959, 106.7271913 -6.3902326, 106.7269982 -6.3897208, 106.7269982 -6.3894223, 106.7284359 -6.3896356, 106.7288006 -6.3896782, 106.7286075 -6.3889318, 106.7285002 -6.3881855, 106.7283071 -6.387823, 106.7280496 -6.387823, 106.7274917 -6.388484, 106.7259682 -6.3879083, 106.7264188 -6.3872046, 106.7269553 -6.386842, 106.7277492 -6.3866715, 106.7280282 -6.3862023, 106.7279209 -6.3858824, 106.726848 -6.3859038, 106.7264618 -6.3854986, 106.7256464 -6.3853707, 106.7251958 -6.3856052, 106.7250456 -6.3860317, 106.7245735 -6.3862663, 106.724316 -6.3867354, 106.7236723 -6.3867141, 106.7232002 -6.3869487, 106.7225135 -6.386117, 106.7221702 -6.3862663, 106.7217411 -6.3858185, 106.7219986 -6.384603, 106.7225565 -6.383814, 106.7227281 -6.3826624, 106.722771 -6.3820014, 106.7233504 -6.381319, 106.7232216 -6.3810418, 106.7223419 -6.3806153, 106.7220844 -6.3799115, 106.7216338 -6.3797623, 106.7219127 -6.3792505, 106.7220629 -6.3789093, 106.7224277 -6.3788027, 106.7226637 -6.3779923, 106.7226423 -6.3776511, 106.7234577 -6.377054, 106.7237152 -6.3769047, 106.7235435 -6.3764996, 106.7231573 -6.3764143, 106.7225994 -6.3764143, 106.721784 -6.3766488, 106.7208613 -6.3763503, 106.7209042 -6.3759664, 106.7213119 -6.3754333, 106.7217411 -6.3750495, 106.7225135 -6.3747722, 106.7227496 -6.3743031, 106.7224492 -6.3739406, 106.7217196 -6.3736207, 106.720754 -6.3733861, 106.7203463 -6.3724052, 106.7198313 -6.3720426, 106.7189516 -6.3720213, 106.718222 -6.3713816, 106.7177499 -6.3712323, 106.717471 -6.3703579, 106.7169346 -6.3700807, 106.7168487 -6.3694836, 106.7173852 -6.3684174, 106.7177929 -6.3682681, 106.718222 -6.3674577, 106.718222 -6.3670312, 106.7176212 -6.3669459, 106.7174495 -6.3663701, 106.7171062 -6.3662635, 106.7167843 -6.3653678, 106.7175783 -6.3647494, 106.7178143 -6.364003, 106.7193378 -6.3643229, 106.7202176 -6.3641096, 106.7211403 -6.3630647, 106.7208184 -6.3620197, 106.7203892 -6.361316, 106.7202819 -6.360399)",Line 6,
"LINESTRING (106.7202819 -6.360399, 106.7241502 -6.3599182, 106.7293858 -6.36043, 106.7330766 -6.3605153, 106.7339349 -6.3601741, 106.7486978 -6.3611978, 106.7515302 -6.3601741, 106.7534184 -6.3607712, 106.7576241 -6.3608565, 106.7595124 -6.3608565, 106.7584963 -6.3598644)",Line 7,
