WKT,name,description
"POLYGON ((106.8232696 -6.1717734, 106.8232589 -6.1736507, 106.8231838 -6.1753787, 106.8231838 -6.176872, 106.8231408 -6.1779813, 106.8231408 -6.1792186, 106.8230389 -6.1796079, 106.8231838 -6.1799866, 106.8237417 -6.1803812, 106.8254046 -6.1803493, 106.8261181 -6.1803066, 106.8268208 -6.180296, 106.8282907 -6.1801573, 106.8294923 -6.1801146, 106.8299751 -6.1801253, 106.8305222 -6.1801253, 106.8310265 -6.1800826, 106.8310373 -6.179432, 106.830415 -6.1789093, 106.8305652 -6.178408, 106.8300502 -6.178024, 106.8298785 -6.1776826, 106.8298785 -6.176872, 106.8300073 -6.175592, 106.8299644 -6.1743547, 106.8298785 -6.173416, 106.8294065 -6.1732453, 106.8291222 -6.1731067, 106.8290739 -6.1728187, 106.8291919 -6.172136, 106.8292241 -6.1717413, 106.8289558 -6.1715387, 106.8279581 -6.1715387, 106.8272607 -6.1715814, 106.8261878 -6.1714854, 106.8252651 -6.1714854, 106.8245893 -6.1714854, 106.8238919 -6.1714854, 106.8235057 -6.1715067, 106.8232696 -6.1717734))",Taman Monas,
"POLYGON ((106.8060608 -6.212774, 106.8052669 -6.2130086, 106.8044086 -6.2131793, 106.8027134 -6.2136059, 106.8007393 -6.2140752, 106.7992373 -6.2144592, 106.7986364 -6.2145445, 106.7981858 -6.2147151, 106.7982717 -6.2152058, 106.7982717 -6.2157604, 106.798336 -6.2166136, 106.798336 -6.2173176, 106.7984004 -6.2180215, 106.7983575 -6.2188108, 106.7982931 -6.2195787, 106.7983575 -6.219984, 106.7983575 -6.220368, 106.7983468 -6.22056, 106.7985614 -6.2207146, 106.7993231 -6.2210292, 106.8005032 -6.2215039, 106.8023593 -6.2222345, 106.8030621 -6.2225403, 106.8037219 -6.2233972, 106.8048002 -6.2247073, 106.8059535 -6.2238274, 106.8071766 -6.2230381, 106.8078632 -6.2226542, 106.8082816 -6.2223662, 106.8087001 -6.2219929, 106.8082924 -6.2214169, 106.8082709 -6.2204784, 106.8082709 -6.2193478, 106.8082709 -6.2183239, 106.8082709 -6.2168307, 106.8083192 -6.2159348, 106.8083145 -6.2158068, 106.8081113 -6.2157855, 106.807941 -6.2157962, 106.8076326 -6.2157748, 106.8069835 -6.2157855, 106.8061252 -6.2156148, 106.8061252 -6.2146335, 106.8063183 -6.2141856, 106.8063183 -6.2136523, 106.8062325 -6.213375, 106.8060608 -6.212774))",GBK,
"POLYGON ((106.8270337 -6.3086847, 106.825655 -6.3086367, 106.8248396 -6.3085727, 106.8245821 -6.3084448, 106.8244963 -6.3081462, 106.8245822 -6.3066319, 106.8245339 -6.3063919, 106.8237346 -6.3064186, 106.8229728 -6.306376, 106.8225651 -6.3066746, 106.8215137 -6.3066319, 106.8205696 -6.3064933, 106.820591 -6.3059921, 106.8203335 -6.3056295, 106.8196844 -6.3056401, 106.8192258 -6.3055548, 106.8189763 -6.3053789, 106.8187242 -6.3053736, 106.8162351 -6.3050323, 106.8162029 -6.3054162, 106.8162565 -6.3058694, 106.8169217 -6.3069465, 106.8169539 -6.3070532, 106.816793 -6.307565, 106.8166857 -6.3077863, 106.8164604 -6.3079489, 106.8161171 -6.3079969, 106.815924 -6.3082635, 106.8158221 -6.3087701, 106.8157845 -6.3093619, 106.8156987 -6.3095112, 106.8158221 -6.3100284, 106.8159964 -6.3102123, 106.8161171 -6.3105775, 106.8167286 -6.3105562, 106.8171363 -6.3104975, 106.8176137 -6.3102522, 106.8177693 -6.3107588, 106.8176942 -6.3120491, 106.8176942 -6.3131048, 106.8177157 -6.313798, 106.8177586 -6.3148217, 106.8173294 -6.3150483, 106.8171041 -6.3151363, 106.8164551 -6.3151363, 106.816431 -6.3155548, 106.8163639 -6.3159734, 106.816616 -6.3161387, 106.8168788 -6.3162133, 106.8172436 -6.3162053, 106.8175923 -6.3162666, 106.8179732 -6.3161014, 106.8184453 -6.3163999, 106.8190461 -6.3166772, 106.8191534 -6.3168905, 106.8191158 -6.3172157, 106.8195664 -6.3172797, 106.8200063 -6.317333, 106.8208056 -6.3174663, 106.8216425 -6.3174663, 106.8228655 -6.317381, 106.8232839 -6.3173277, 106.8236112 -6.3173757, 106.8237104 -6.3174156, 106.82374 -6.3174983, 106.823756 -6.3177275, 106.8247753 -6.3177969, 106.8250543 -6.3163786, 106.8252044 -6.3153336, 106.8253493 -6.3141819, 106.8255907 -6.3127956, 106.8257087 -6.3115052, 106.8257972 -6.3112653, 106.8259286 -6.311228, 106.82617 -6.3113133, 106.8265402 -6.3113986, 106.8267065 -6.3108121, 106.8269211 -6.309959, 106.8269961 -6.3091486, 106.8270337 -6.3086847))",Kebun Binatang Ragunan,
"POLYGON ((106.8893951 -6.3014824, 106.8893897 -6.3017277, 106.8893897 -6.3019623, 106.889387 -6.3021916, 106.8893924 -6.3024315, 106.8893897 -6.3027088, 106.8895426 -6.3027141, 106.8897223 -6.3027088, 106.889953 -6.3027141, 106.8900227 -6.3027168, 106.8901837 -6.3027141, 106.8903553 -6.3027168, 106.8904224 -6.3026928, 106.8904733 -6.3026128, 106.890476 -6.3025168, 106.890476 -6.3024582, 106.8904277 -6.3024208, 106.8903982 -6.3023782, 106.8903634 -6.3023035, 106.8903339 -6.3021782, 106.8903285 -6.3020316, 106.8903231 -6.301901, 106.8903553 -6.3017703, 106.8904197 -6.301685, 106.8905162 -6.301661, 106.8905002 -6.3015997, 106.8904653 -6.3015144, 106.8903741 -6.3014504, 106.8903339 -6.3014824, 106.8899852 -6.3014824, 106.889666 -6.3014824, 106.8893951 -6.3014824))",Taman Mini Indonesia Indah,
"POLYGON ((106.8509112 -6.2328374, 106.8506859 -6.233488, 106.8506859 -6.2339573, 106.8509005 -6.2345119, 106.8514262 -6.2347999, 106.8518231 -6.2350345, 106.8524132 -6.2354078, 106.8525742 -6.2357064, 106.85266 -6.2360477, 106.8527029 -6.2363357, 106.8525956 -6.236677, 106.8523703 -6.2373276, 106.8521879 -6.2381381, 106.8519948 -6.2388207, 106.8518339 -6.2393646, 106.8517588 -6.2398979, 106.8519304 -6.2402712, 106.8521128 -6.2406658, 106.8523059 -6.2411457, 106.8525742 -6.241711, 106.8527136 -6.2420949, 106.8534217 -6.242063, 106.853926 -6.2420523, 106.8536149 -6.2417003, 106.853175 -6.2412204, 106.853014 -6.2405272, 106.8529175 -6.2399086, 106.8529389 -6.2392687, 106.8531964 -6.2385967, 106.8534539 -6.2376582, 106.8535827 -6.2369223, 106.853529 -6.2359944, 106.8533896 -6.2353012, 106.8532608 -6.2346932, 106.8527995 -6.2347786, 106.8527458 -6.2341173, 106.8526278 -6.2336587, 106.8521557 -6.2336907, 106.8518553 -6.2337333, 106.8518124 -6.2335307, 106.8513511 -6.2335627, 106.8512545 -6.2333174, 106.851276 -6.2330614, 106.8509112 -6.2328374))",Tebet Echo Park,
